time,step-size,{Cacc1FMU}.Cacc1FMUInstance.accdes,{Cacc2FMU}.Cacc2FMUInstance.accdes,{Cacc3FMU}.Cacc3FMUInstance.accdes,{LeaderPlantFMU}.LeaderPlantFMUInstance.accel,{LeaderPlantFMU}.LeaderPlantFMUInstance.speed,{LeaderPlantFMU}.LeaderPlantFMUInstance.x,{Parameters}.ParametersInstance.C1_weight_1,{Parameters}.ParametersInstance.controllerBandwidth_1,{Parameters}.ParametersInstance.dampingRatio_1,{Parameters}.ParametersInstance.precVehicleLenght_1,{Parameters}.ParametersInstance.targetDistance_1,{PlantFMU}.PlantFMUInstance1.acc,{PlantFMU}.PlantFMUInstance1.speed,{PlantFMU}.PlantFMUInstance1.x,{PlantFMU}.PlantFMUInstance2.acc,{PlantFMU}.PlantFMUInstance2.speed,{PlantFMU}.PlantFMUInstance2.x,{PlantFMU}.PlantFMUInstance3.acc,{PlantFMU}.PlantFMUInstance3.speed,{PlantFMU}.PlantFMUInstance3.x
75.05000000000149,0.01,0.09098614007234573,0.15232659876346588,0.18121828138828278,0.07730923778222765,5.91608341490841,450.6398978542076,0.5,0.2,1.0,4.0,15.0,0.16995105753076822,5.913420776350294,431.3768902600621,0.21964347679451043,5.859943130221226,412.21501858000846,0.23626913006494565,5.800284263539424,393.1431293595919
75.0600000000015,0.01,0.088894322514534,0.15176212787628174,0.18082977831363678,0.07557458847210784,5.916856507286233,450.69905868835673,0.5,0.2,1.0,4.0,15.0,0.17090118062558082,5.915125198115512,431.43603298421914,0.2208086574001551,5.862145550504177,412.2736290161518,0.2376429861783711,5.802653958300649,393.2011440420681
75.0700000000015,0.01,0.08678819984197617,0.1510995328426361,0.18035852909088135,0.07383695560663957,5.9176122531709545,450.7582272534296,0.5,0.2,1.0,4.0,15.0,0.17168467698764275,5.91683830911277,431.49519279711916,0.22182416573553326,5.864358868181532,412.33226153193596,0.23888076300324448,5.805036703434078,393.2591824876966
75.0800000000015,0.01,0.08466897904872894,0.15034602582454681,0.17980840802192688,0.07209640778459306,5.918350622727021,450.81740337596136,0.5,0.2,1.0,4.0,15.0,0.17230608866451175,5.918558412038656,431.5543697771433,0.2227008190402025,5.86658160346479,412.39091622892124,0.2399657429130008,5.807431017746185,393.3172448195585
75.09000000000151,0.01,0.08253448456525803,0.14950941503047943,0.17918363213539124,0.07035301371981603,5.919071586804868,450.8765868821887,0.5,0.2,1.0,4.0,15.0,0.1727599637362109,5.920283861929592,431.6135639859539,0.2234272714602595,5.868812312435893,412.4495931940417,0.24089873088701455,5.809835453071776,393.3753311460724
75.10000000000151,0.01,0.08038941025733948,0.1485828012228012,0.1784767359495163,0.0686068422385206,5.919775116942063,450.9357775980568,0.5,0.2,1.0,4.0,15.0,0.1730513468835276,5.922013062026423,431.6727754689899,0.22400705482012728,5.871049582777844,412.508292499932,0.24169978324798883,5.812248593982627,393.43344156133855
75.11000000000152,0.01,0.07823155075311661,0.14757040143013,0.177694171667099,0.06685796227656772,5.920461185364449,450.99497534922625,0.5,0.2,1.0,4.0,15.0,0.17128286189291153,5.923734766833894,431.73200421953663,0.22254433640786597,5.873282337110033,412.56701416884135,0.24045222329819554,5.8146593663113055,393.4915761090685
75.12000000000153,0.01,0.07606736570596695,0.1455230712890625,0.17588573694229126,0.06510644287674333,5.9211297649872145,451.0541799610799,0.5,0.2,1.0,4.0,15.0,0.1695081878147351,5.925438753190708,431.79125009857273,0.22108988593035597,5.875500504339996,412.6257580923111,0.2392132267493606,5.817057700125947,393.5497347022795
75.13000000000153,0.01,0.07389912754297256,0.14347155392169952,0.1740790605545044,0.06335235318603424,5.921780829415982,451.1133912587298,0.5,0.2,1.0,4.0,15.0,0.16772688872932967,5.9271249579858685,431.8505129286047,0.21962141456587284,5.877704066453147,412.68452412466104,0.23795984060440642,5.819443580191362,393.6079172167868
75.14000000000154,0.01,0.07172992825508118,0.14141419529914856,0.17226271331310272,0.061595762452897974,5.922414352947843,451.172609067024,0.5,0.2,1.0,4.0,15.0,0.16594454921571627,5.928793317764331,431.9097925315042,0.2181425616836136,5.879892890969217,412.7433121190065,0.23669711979040553,5.8218168792171925,393.666123527248
75.15000000000154,0.01,0.0695568099617958,0.13935142755508423,0.17043884098529816,0.059836740024528906,5.923030310572373,451.2318332105535,0.5,0.2,1.0,4.0,15.0,0.16414594785693423,5.9304437726603165,431.96908872851634,0.21665479702090873,5.882066881028719,412.80212192748684,0.23542592428911563,5.824177505229275,393.72435350739454
75.16000000000155,0.01,0.06738164275884628,0.13727928698062897,0.16860808432102203,0.058075355344120574,5.923628677972618,451.29106351365925,0.5,0.2,1.0,4.0,15.0,0.16234635882352935,5.932076259482285,432.02840134027366,0.21515715300659177,5.8842259407928115,412.86095340127787,0.23414489649086573,5.826525366336708,393.7826070300364
75.17000000000155,0.01,0.06520288437604904,0.13520433008670807,0.1667715609073639,0.05631167794812419,5.92420943152606,451.350299800439,0.5,0.2,1.0,4.0,15.0,0.16054032426119075,5.933690718317452,432.0877301867977,0.21365001430029304,5.886369974631748,412.91980639059915,0.2328549575391334,5.828860370805951,393.8408839670648
75.18000000000156,0.01,0.06302222609519958,0.13312357664108276,0.1649254858493805,0.05454577746350344,5.924772548305541,451.4095418947543,0.5,0.2,1.0,4.0,15.0,0.15872872442883376,5.935287089051056,432.14707508750854,0.21213335206431097,5.888498887549919,412.9786807447144,0.2315561121548685,5.831182427587638,393.8991841894583
75.19000000000156,0.01,0.060839343816041946,0.13103695213794708,0.16307340562343597,0.05277772360498576,5.925318006080176,451.4687896202374,0.5,0.2,1.0,4.0,15.0,0.15691607090598167,5.936865311641222,432.2064358612276,0.2106070076690228,5.890612585694292,413.0375763119455,0.23024778397395662,5.833491445985146,393.95750756728694
75.20000000000157,0.01,0.058653272688388824,0.1289474219083786,0.16121333837509155,0.05100758617230978,5.925845783316224,451.5280428002982,0.5,0.2,1.0,4.0,15.0,0.15508788203232832,5.938425329358921,432.26581232617656,0.20907191333428887,5.8927109756210445,413.0964929396673,0.22892324031271674,5.835787336292873,394.0158539697031
75.21000000000157,0.01,0.05646512284874916,0.12684795260429382,0.15934784710407257,0.04923543504747101,5.9263558591779475,451.5873012581314,0.5,0.2,1.0,4.0,15.0,0.1547806306088308,5.9399747482318395,432.3252043288384,0.20904498597115995,5.894801631668796,413.15543050317007,0.22912236136174002,5.8380776720438705,394.07422329380046
75.22000000000158,0.01,0.054272472858428955,0.1255061775445938,0.15823355317115784,0.047461340191961125,5.926848213528422,451.6465648167232,0.5,0.2,1.0,4.0,15.0,0.1543675667803078,5.941520564475293,432.38461180826994,0.20891806814226518,5.896891513196126,413.21438896997887,0.22920638344177013,5.84036941876182,394.1326155289255
75.23000000000158,0.01,0.052070941776037216,0.12410794198513031,0.15706460177898407,0.045685371644007294,5.927322826930342,451.7058332988585,0.5,0.2,1.0,4.0,15.0,0.15386651875497473,5.943061829105159,432.44403472368924,0.2087045908914405,5.898979711823985,413.27336832758095,0.22921809182927197,5.842661667123563,394.1910306844198
75.24000000000159,0.01,0.049862198531627655,0.12266108393669128,0.155849888920784,0.04390759951580684,5.927779680646783,451.76510652712784,0.5,0.2,1.0,4.0,15.0,0.15327889493395191,5.944597623078255,432.5034730249753,0.2084154332827848,5.901065426607227,413.3323685552679,0.22915560436405502,5.844953618881886,394.24946876144065
75.25000000000159,0.01,0.04764546826481819,0.12116887420415878,0.1545931100845337,0.042128093990759355,5.928218756641941,451.82438432393434,0.5,0.2,1.0,4.0,15.0,0.15259410836670206,5.946127055746003,432.56292665294734,0.2080531970817601,5.903147847864715,413.3913896241492,0.2290057629494484,5.847244468485359,394.3079297529811
