time,step-size,{Cacc1FMU}.Cacc1FMUInstance.accdes,{Cacc2FMU}.Cacc2FMUInstance.accdes,{Cacc3FMU}.Cacc3FMUInstance.accdes,{Cacc4FMU}.Cacc4FMUInstance.accdes,{LeaderPlantFMU}.LeaderPlantFMUInstance.acc,{LeaderPlantFMU}.LeaderPlantFMUInstance.speed,{LeaderPlantFMU}.LeaderPlantFMUInstance.x,{Parameters}.ParametersInstance.C1_weight_1,{Parameters}.ParametersInstance.controllerBandwidth_1,{Parameters}.ParametersInstance.dampingRatio_1,{Parameters}.ParametersInstance.precVehicleLenght_1,{Parameters}.ParametersInstance.targetDistance_1,{PlantFMU}.PlantFMUInstance1.acc,{PlantFMU}.PlantFMUInstance1.speed,{PlantFMU}.PlantFMUInstance1.x,{PlantFMU}.PlantFMUInstance2.acc,{PlantFMU}.PlantFMUInstance2.speed,{PlantFMU}.PlantFMUInstance2.x,{PlantFMU}.PlantFMUInstance3.acc,{PlantFMU}.PlantFMUInstance3.speed,{PlantFMU}.PlantFMUInstance3.x,{PlantFMU}.PlantFMUInstance4.acc,{PlantFMU}.PlantFMUInstance4.speed,{PlantFMU}.PlantFMUInstance4.x
33.97000000000181,0.01,1.4863777160644531,1.690671443939209,1.7497185468673706,1.6719716787338257,1.1964180130169395,14.067027233766012,840.0869346887656,0.5,0.2,1.0,4.0,15.0,1.523013103658758,13.536364399329203,819.1546682511544,1.6932029006120104,12.958868111720273,798.993756636383,1.68614295188524,12.58379351777734,778.8844996345994,1.5565159910716737,12.605434330708254,757.5778545862627
33.98000000000181,0.01,1.4859731197357178,1.6902159452438354,1.7500262260437012,1.6732131242752075,1.1971569955320636,14.078995078916707,840.2276647947621,0.5,0.2,1.0,4.0,15.0,1.5230170487246855,13.551594495559977,819.2901080456567,1.6938074490778463,12.975803132696939,799.1234299881812,1.6879185516805106,12.600663780527727,779.0104219077098,1.5592320843324543,12.621013025979165,757.7039868025212
33.99000000000181,0.01,1.4856194257736206,1.689811110496521,1.7503761053085327,1.6744897365570068,1.1979519368199125,14.090970608173508,840.3685146172456,0.5,0.2,1.0,4.0,15.0,1.5230897687026383,13.566824959517136,819.4257001425311,1.6944569962952183,12.992744412923264,799.2532727211419,1.6897343522194124,12.617552058861031,779.136512973209,1.5619801440247558,12.63661906643405,757.8302749421545
34.000000000001805,0.01,1.4853227138519287,1.6894645690917969,1.750774621963501,1.6758092641830444,1.1987987194364378,14.10295431589512,840.5094842355671,0.5,0.2,1.0,4.0,15.0,1.523205215301182,13.582056362437754,819.5614445483186,1.6951515097000776,13.009692398275682,799.3832849000994,1.691592283429998,12.634458722558083,779.262773013134,1.5647779718492987,12.652252814251058,757.9567192804625
34.0100000000018,0.01,1.4850778579711914,1.6891638040542603,1.7512165307998657,1.6771684885025024,1.2001279186325544,14.114948819105424,840.6505737413224,0.5,0.2,1.0,4.0,15.0,1.5238210371203098,13.597291384522066,819.6973412825198,1.6963196249664536,13.026649669367309,799.513466601708,1.6939345356197426,12.65138627200114,779.3892022205872,1.5680365762179695,12.667916780372916,758.0833201037832
34.0200000000018,0.01,1.4853211641311646,1.6893504858016968,1.7521297931671143,1.6790114641189575,1.2015554298158275,14.126957126241805,840.7917832603462,0.5,0.2,1.0,4.0,15.0,1.5245490769779775,13.612533119578506,819.8333903996617,1.697608023087055,13.043619196600831,799.6438179365521,1.6963545517376115,12.668337623817138,779.5158008218438,1.571395780519102,12.683613858428401,758.2100777316102
34.0300000000018,0.01,1.4856621026992798,1.689643383026123,1.7531476020812988,1.6809355020523071,1.2030860907590932,14.138980243659747,840.9331129357461,0.5,0.2,1.0,4.0,15.0,1.5253912656224204,13.627782721595196,819.9695919724976,1.6989954404107481,13.060602036098656,799.7743390323483,1.6988829063508724,12.68531374083063,779.642569059608,1.5748489082512056,12.699345022683222,758.3369924998027
34.0400000000018,0.01,1.486104965209961,1.6900407075881958,1.7542648315429688,1.6829630136489868,1.2047109452916251,14.151019136437808,841.0745629204943,0.5,0.2,1.0,4.0,15.0,1.5263567150491661,13.643041349103903,820.1059460856251,1.7004760684238778,13.077599248027731,799.9050300276022,1.7015055300700899,12.702315608246499,779.7695071865714,1.57841110444048,12.715111243667117,758.4640647542084
34.050000000001795,0.01,1.486647129058838,1.6905455589294434,1.7554690837860107,1.6850796937942505,1.2064256650927032,14.163074721780932,841.2161333769641,0.5,0.2,1.0,4.0,15.0,1.5274204864592125,13.658310125388704,820.2424528349277,1.7020648906738378,13.094611837106315,800.0358910710827,1.7042147629219009,12.719344164840491,779.8966154649345,1.5820499321571915,12.730913465034806,758.5912948501222
34.06000000000179,0.01,1.4872792959213257,1.6911404132843018,1.7567700147628784,1.6872775554656982,1.2082198803519004,14.17514787494809,841.3578244764803,0.5,0.2,1.0,4.0,15.0,1.528596575128026,13.673590125907598,820.3791123272845,1.7037420275459598,13.111640793122683,800.1669223215296,1.7070288243493696,12.736400308699348,780.0238941661322,1.585785582189263,12.746752580760495,758.7186831520314
